Landtagswahl 2018, 25.02.2018 (Bericht wurde generiert am 17.09.2019 um 13:30)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandstiroler Wahlberechtigte männlich;Auslandstiroler Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;
708;Reutte;70831;Steeg;276;256;0;0;532;353;66,35;352;1;1;VP TIROL;232;65,91;2;SPÖ;11;3,13;3;GRÜNE;15;4,26;5;FPÖ;57;16,19;6;FRITZ;6;1,70;7;NEOS;16;4,55;8;FAMILY;14;3,98;9;IMPULS;1;0,28;
708;Reutte;70832;Tannheim;356;342;0;0;698;438;62,75;435;3;1;VP TIROL;281;64,60;2;SPÖ;28;6,44;3;GRÜNE;24;5,52;5;FPÖ;54;12,41;6;FRITZ;15;3,45;7;NEOS;27;6,21;8;FAMILY;2;0,46;9;IMPULS;4;0,92;
708;Reutte;70833;Vils;535;530;1;1;1065;593;55,68;584;9;1;VP TIROL;310;53,08;2;SPÖ;72;12,33;3;GRÜNE;49;8,39;5;FPÖ;96;16,44;6;FRITZ;15;2,57;7;NEOS;32;5,48;8;FAMILY;5;0,86;9;IMPULS;5;0,86;
708;Reutte;70834;Vorderhornbach;102;99;0;1;201;148;73,63;148;0;1;VP TIROL;94;63,51;2;SPÖ;14;9,46;3;GRÜNE;6;4,05;5;FPÖ;23;15,54;6;FRITZ;7;4,73;7;NEOS;2;1,35;8;FAMILY;1;0,68;9;IMPULS;1;0,68;
708;Reutte;70835;Wängle;332;347;0;0;679;433;63,77;431;2;1;VP TIROL;234;54,29;2;SPÖ;41;9,51;3;GRÜNE;42;9,74;5;FPÖ;62;14,39;6;FRITZ;9;2,09;7;NEOS;23;5,34;8;FAMILY;13;3,02;9;IMPULS;7;1,62;
708;Reutte;70836;Weißenbach am Lech;462;479;0;0;941;494;52,50;487;7;1;VP TIROL;200;41,07;2;SPÖ;88;18,07;3;GRÜNE;29;5,95;5;FPÖ;99;20,33;6;FRITZ;19;3,90;7;NEOS;28;5,75;8;FAMILY;10;2,05;9;IMPULS;14;2,87;
708;Reutte;70837;Zöblen;81;88;0;0;169;136;80,47;136;0;1;VP TIROL;87;63,97;2;SPÖ;4;2,94;3;GRÜNE;16;11,76;5;FPÖ;19;13,97;6;FRITZ;6;4,41;7;NEOS;4;2,94;8;FAMILY;0;0,00;9;IMPULS;0;0,00;
709;Schwaz;70901;Achenkirch;765;772;1;0;1537;923;60,05;919;4;1;VP TIROL;555;60,39;2;SPÖ;74;8,05;3;GRÜNE;30;3,26;5;FPÖ;146;15,89;6;FRITZ;57;6,20;7;NEOS;49;5,33;8;FAMILY;8;0,87;
709;Schwaz;70902;Aschau im Zillertal;669;680;0;1;1349;773;57,30;768;5;1;VP TIROL;520;67,71;2;SPÖ;54;7,03;3;GRÜNE;38;4,95;5;FPÖ;111;14,45;6;FRITZ;18;2,34;7;NEOS;14;1,82;8;FAMILY;13;1,69;
709;Schwaz;70903;Brandberg;132;139;0;0;271;179;66,05;179;0;1;VP TIROL;136;75,98;2;SPÖ;4;2,23;3;GRÜNE;6;3,35;5;FPÖ;23;12,85;6;FRITZ;6;3,35;7;NEOS;1;0,56;8;FAMILY;3;1,68;
709;Schwaz;70904;Bruck am Ziller;399;441;0;0;840;535;63,69;532;3;1;VP TIROL;318;59,77;2;SPÖ;53;9,96;3;GRÜNE;20;3,76;5;FPÖ;93;17,48;6;FRITZ;28;5,26;7;NEOS;16;3,01;8;FAMILY;4;0,75;
709;Schwaz;70905;Buch in Tirol;1003;998;0;0;2001;1239;61,92;1234;5;1;VP TIROL;471;38,17;2;SPÖ;195;15,80;3;GRÜNE;114;9,24;5;FPÖ;281;22,77;6;FRITZ;103;8,35;7;NEOS;56;4,54;8;FAMILY;14;1,13;
