Landtagswahl 1994, 13.03.1994 (Bericht wurde generiert am 16.08.2013 um 11:09)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandstiroler Wahlberechtigte männlich;Auslandstiroler Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;
701;Innsbruck-Stadt;70101;Innsbruck;36351;45573;0;0;81924;67064;81,86;61574;5490;1;VP Tirol;20969;34,05;2;SPÖ;14068;22,85;3;FPÖ;11299;18,35;4;Grüne;9806;15,93;5;DU;1444;2,35;6;Liberales Forum;3523;5,72;7;VGÖ;0;0,00;8;ÖNP;465;0,76;
702;Imst;70201;Arzl im Pitztal;881;920;0;0;1801;1577;87,56;1496;81;1;VP Tirol;909;60,76;2;SPÖ;271;18,11;3;FPÖ;165;11,03;4;Grüne;120;8,02;5;DU;12;0,80;6;Liberales Forum;19;1,27;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70202;Haiming;1242;1266;0;0;2508;2239;89,27;2081;158;1;VP Tirol;1034;49,69;2;SPÖ;442;21,24;3;FPÖ;345;16,58;4;Grüne;184;8,84;5;DU;18;0,86;6;Liberales Forum;58;2,79;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70203;Imst;2508;2855;0;0;5363;4713;87,88;4383;330;1;VP Tirol;2236;51,02;2;SPÖ;742;16,93;3;FPÖ;669;15,26;4;Grüne;532;12,14;5;DU;65;1,48;6;Liberales Forum;139;3,17;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70204;Imsterberg;233;241;0;0;474;428;90,30;401;27;1;VP Tirol;279;69,58;2;SPÖ;59;14,71;3;FPÖ;29;7,23;4;Grüne;20;4,99;5;DU;5;1,25;6;Liberales Forum;9;2,24;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70205;Jerzens;332;315;0;0;647;569;87,94;536;33;1;VP Tirol;387;72,20;2;SPÖ;62;11,57;3;FPÖ;41;7,65;4;Grüne;16;2,99;5;DU;19;3,54;6;Liberales Forum;11;2,05;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70206;Karres;207;195;0;0;402;379;94,28;338;41;1;VP Tirol;221;65,38;2;SPÖ;56;16,57;3;FPÖ;40;11,83;4;Grüne;15;4,44;5;DU;3;0,89;6;Liberales Forum;3;0,89;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70207;Karrösten;225;229;0;0;454;425;93,61;404;21;1;VP Tirol;226;55,94;2;SPÖ;108;26,73;3;FPÖ;28;6,93;4;Grüne;29;7,18;5;DU;1;0,25;6;Liberales Forum;12;2,97;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70208;Längenfeld;1196;1227;0;0;2423;2211;91,25;2083;128;1;VP Tirol;1698;81,52;2;SPÖ;151;7,25;3;FPÖ;108;5,18;4;Grüne;86;4,13;5;DU;26;1,25;6;Liberales Forum;14;0,67;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
702;Imst;70209;Mieming;785;836;0;0;1621;1398;86,24;1264;134;1;VP Tirol;697;55,14;2;SPÖ;127;10,05;3;FPÖ;219;17,33;4;Grüne;117;9,26;5;DU;30;2,37;6;Liberales Forum;74;5,85;7;VGÖ;0;0,00;8;ÖNP;0;0,00;
