Landtagswahl 2008, 08.06.2008 (Bericht wurde generiert am 16.08.2013 um 11:08)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandstiroler Wahlberechtigte männlich;Auslandstiroler Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;
701;Innsbruck-Stadt;70101;Innsbruck;39737;46820;0;0;86557;46992;54,29;46270;722;1;ÖVP;13033;28,17;2;SPÖ;6875;14,86;3;GRÜNE;9262;20,02;4;FPÖ;6357;13,74;5;KPÖ;901;1,95;6;DC;449;0,97;7;FRITZ;9393;20,30;
702;Imst;70201;Arzl im Pitztal;1107;1125;0;0;2232;1515;67,88;1482;33;1;ÖVP;673;45,41;2;SPÖ;295;19,91;3;GRÜNE;116;7,83;4;FPÖ;187;12,62;5;KPÖ;20;1,35;6;DC;17;1,15;7;FRITZ;174;11,74;
702;Imst;70202;Haiming;1546;1584;0;0;3130;1995;63,74;1957;38;1;ÖVP;710;36,28;2;SPÖ;473;24,17;3;GRÜNE;199;10,17;4;FPÖ;252;12,88;5;KPÖ;16;0,82;6;DC;19;0,97;7;FRITZ;288;14,72;
702;Imst;70203;Imst;3213;3524;0;0;6737;4163;61,79;4062;101;1;ÖVP;1560;38,40;2;SPÖ;843;20,75;3;GRÜNE;388;9,55;4;FPÖ;642;15,81;5;KPÖ;55;1,35;6;DC;92;2,26;7;FRITZ;482;11,87;
702;Imst;70204;Imsterberg;277;312;0;0;589;429;72,84;421;8;1;ÖVP;252;59,86;2;SPÖ;75;17,81;3;GRÜNE;11;2,61;4;FPÖ;31;7,36;5;KPÖ;4;0,95;6;DC;14;3,33;7;FRITZ;34;8,08;
702;Imst;70205;Jerzens;370;360;0;0;730;495;67,81;473;22;1;ÖVP;280;59,20;2;SPÖ;72;15,22;3;GRÜNE;9;1,90;4;FPÖ;64;13,53;5;KPÖ;2;0,42;6;DC;6;1,27;7;FRITZ;40;8,46;
702;Imst;70206;Karres;240;240;0;0;480;315;65,63;310;5;1;ÖVP;186;60,00;2;SPÖ;56;18,06;3;GRÜNE;9;2,90;4;FPÖ;27;8,71;5;KPÖ;3;0,97;6;DC;4;1,29;7;FRITZ;25;8,06;
702;Imst;70207;Karrösten;289;273;0;0;562;379;67,44;371;8;1;ÖVP;177;47,71;2;SPÖ;80;21,56;3;GRÜNE;13;3,50;4;FPÖ;48;12,94;5;KPÖ;8;2,16;6;DC;2;0,54;7;FRITZ;43;11,59;
702;Imst;70208;Längenfeld;1555;1578;0;0;3133;2042;65,18;2005;37;1;ÖVP;1201;59,90;2;SPÖ;198;9,88;3;GRÜNE;113;5,64;4;FPÖ;104;5,19;5;KPÖ;6;0,30;6;DC;22;1,10;7;FRITZ;361;18,00;
702;Imst;70209;Mieming;1140;1235;0;0;2375;1556;65,52;1519;37;1;ÖVP;730;48,06;2;SPÖ;120;7,90;3;GRÜNE;186;12,24;4;FPÖ;163;10,73;5;KPÖ;14;0,92;6;DC;23;1,51;7;FRITZ;283;18,63;
